epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,25576.2,0.97182,0.40939,0.00424,0.97414,0.94013,0.98049,0.87402,0.77298,0.32634,0.00462,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,26054.1,0.97091,0.41615,0.00416,0.97201,0.93403,0.97997,0.87186,0.82415,0.33655,0.00484,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,26535.4,0.96752,0.4057,0.00413,0.9758,0.92703,0.97986,0.87881,0.7641,0.32373,0.00454,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,27009.2,0.94508,0.39768,0.00413,0.97492,0.93499,0.97972,0.88271,0.74587,0.31619,0.00456,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,27430.1,0.96563,0.40033,0.0041,0.97631,0.9466,0.98178,0.88887,0.75345,0.32007,0.00448,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,27843.6,0.9602,0.40187,0.004,0.97102,0.94338,0.98217,0.88787,0.73055,0.31232,0.00439,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,28256.5,0.95685,0.40157,0.00412,0.97215,0.94693,0.98389,0.87344,0.77988,0.33207,0.00485,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,28665.2,0.95439,0.40598,0.00411,0.96833,0.94693,0.98407,0.87222,0.77791,0.3233,0.00481,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,29075,0.9562,0.39906,0.00408,0.97327,0.93863,0.98183,0.87688,0.76604,0.31935,0.00471,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,29491.5,0.94688,0.39428,0.00406,0.97884,0.95323,0.98436,0.87407,0.79275,0.32052,0.00486,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,29899.7,0.93354,0.3904,0.00401,0.97777,0.94152,0.98324,0.88387,0.74036,0.30704,0.00433,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,30308,0.93806,0.38899,0.00398,0.97479,0.94669,0.9844,0.87879,0.76176,0.31018,0.00452,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,30718.3,0.94,0.39139,0.00405,0.97055,0.95513,0.98496,0.88775,0.70832,0.29177,0.00439,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,31132.2,0.94257,0.39345,0.00398,0.97325,0.95594,0.98574,0.89125,0.70233,0.29919,0.00422,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,31546.1,0.93095,0.38835,0.00397,0.97218,0.94765,0.98371,0.88459,0.75351,0.31175,0.00444,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,31958.5,0.93062,0.38076,0.00397,0.97295,0.95217,0.98443,0.8881,0.72688,0.30075,0.00427,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,32372,0.91389,0.37901,0.00391,0.97147,0.95545,0.98479,0.89135,0.70788,0.30012,0.00425,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,32784.3,0.91346,0.37945,0.00386,0.97874,0.9484,0.98512,0.88401,0.75939,0.31085,0.00457,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,33197.8,0.91911,0.37849,0.0039,0.97939,0.95236,0.98445,0.89772,0.69807,0.29616,0.00417,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,33617.1,0.91907,0.38412,0.00393,0.97207,0.95068,0.9844,0.89644,0.67343,0.2938,0.00408,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,34039.5,0.9084,0.37566,0.00386,0.97951,0.94421,0.98379,0.89188,0.7154,0.30119,0.00424,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,34565.6,0.90692,0.37544,0.00386,0.97374,0.95197,0.98527,0.89803,0.68074,0.29499,0.00413,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,605.565,0.89692,0.36936,0.00382,0.97356,0.95469,0.98501,0.89703,0.71802,0.30169,0.00427,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,1166.82,0.901,0.37164,0.00378,0.9838,0.94396,0.98413,0.89506,0.67675,0.29417,0.00418,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,1749.41,0.87962,0.36376,0.0038,0.97854,0.95165,0.98551,0.89392,0.6896,0.29691,0.00424,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,2338.71,0.891,0.37173,0.00375,0.97985,0.94982,0.98555,0.9007,0.64733,0.28618,0.00401,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,3009.19,0.8905,0.36836,0.00374,0.97311,0.9637,0.98683,0.89705,0.67984,0.28417,0.00413,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,3646.13,0.88349,0.35935,0.00373,0.97809,0.95395,0.986,0.90084,0.67198,0.29051,0.00401,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,4278.38,0.87975,0.36012,0.00373,0.97432,0.9566,0.9861,0.89904,0.68755,0.29138,0.00417,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,4794.58,0.88148,0.36311,0.00377,0.97313,0.956,0.98638,0.89874,0.68023,0.28965,0.00412,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,5325.09,0.87357,0.35827,0.00374,0.97483,0.95752,0.98451,0.89841,0.66869,0.28342,0.00406,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,5864.33,0.87693,0.36233,0.00376,0.97288,0.95372,0.98481,0.90283,0.66348,0.28291,0.00392,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,6380.35,0.8681,0.35469,0.0037,0.97599,0.95938,0.98652,0.8994,0.68939,0.29232,0.00407,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,6975.95,0.85726,0.35192,0.00365,0.97192,0.96108,0.98558,0.9014,0.6682,0.28331,0.00397,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,7494.8,0.86369,0.35336,0.0036,0.97427,0.96061,0.98526,0.90831,0.64507,0.27712,0.00381,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,8000.41,0.85634,0.35205,0.00362,0.97758,0.95102,0.98426,0.90632,0.65432,0.28046,0.00387,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
87,8481.16,0.84999,0.34875,0.00359,0.97279,0.95128,0.98433,0.90253,0.65777,0.28256,0.00398,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,8965.85,0.85253,0.35058,0.00363,0.9738,0.95811,0.98595,0.90644,0.65302,0.27632,0.00385,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,9451.53,0.84595,0.34823,0.00364,0.97065,0.95901,0.98593,0.91186,0.63606,0.27572,0.00369,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,9972.48,0.83843,0.34659,0.00351,0.96994,0.96028,0.98603,0.91016,0.6381,0.27358,0.00375,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
91,10471.2,0.83751,0.33752,0.00346,0.97072,0.95759,0.98567,0.90908,0.64515,0.27209,0.00376,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
92,10928.4,0.83405,0.34095,0.00352,0.95985,0.96882,0.98566,0.91185,0.62875,0.26733,0.00365,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746
93,11335.5,0.83688,0.34311,0.00354,0.9701,0.96139,0.9848,0.91104,0.62064,0.27332,0.00367,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
94,11742.2,0.83983,0.34556,0.00355,0.96979,0.95701,0.98565,0.91157,0.61882,0.26523,0.00365,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318
95,12160.3,0.83366,0.34198,0.00349,0.97261,0.94998,0.98586,0.90837,0.63441,0.26488,0.00373,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
96,12572.4,0.82729,0.33572,0.00344,0.97398,0.95599,0.98597,0.9095,0.62703,0.26506,0.00372,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
97,13001.6,0.83223,0.34007,0.0035,0.98216,0.94766,0.98639,0.9114,0.60897,0.26297,0.00359,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
98,13413.1,0.81567,0.33423,0.00347,0.98381,0.94424,0.98623,0.91326,0.61102,0.26273,0.00361,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318
99,13824.6,0.80879,0.33095,0.00337,0.97547,0.95827,0.98668,0.91376,0.61181,0.26168,0.00361,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
100,14248.1,0.8134,0.33581,0.0034,0.97175,0.95953,0.98724,0.91274,0.61366,0.25916,0.00364,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775
101,14838.4,0.8165,0.33863,0.00339,0.97709,0.95677,0.98732,0.9134,0.61188,0.25651,0.00366,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,15362,0.80858,0.33312,0.00338,0.98433,0.95395,0.98787,0.91287,0.6169,0.25774,0.00366,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225
103,15908.6,0.80811,0.32996,0.00336,0.97524,0.95632,0.98611,0.91223,0.60196,0.25382,0.0036,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
104,16498.5,0.79149,0.32598,0.00334,0.97776,0.95851,0.98687,0.91257,0.60368,0.25562,0.00363,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682
105,17086.3,0.79812,0.32461,0.00334,0.97928,0.95804,0.98677,0.91453,0.59415,0.25129,0.00356,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
106,17666.9,0.79985,0.32143,0.00327,0.97852,0.96116,0.98701,0.91413,0.59729,0.25202,0.00356,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
